,question,answer
43,"How can you clean soiled bedding, towels and linens from patients with COVID-19?","All individuals dealing with soiled bedding, towels and clothes from patients with COVID-19 should: Wear appropriate personal protective equipment, which includes heavy duty gloves, mask, eye protection (face shield/goggles), long-sleeved gown, apron (if gown is not fluid resistant), boots or closed shoes before touching any soiled linen.Never carry soiled linen against body; place soiled linen in a clearly labelled, leak-proof container (e.g. bag, bucket)If there is any solid excrement on the linen, such as feces or vomit, scrape it off carefully with a flat, firm object and put it in the commode or designated toilet/latrine before putting linen in the designated container. If the latrine is not in the same room as the patient, place soiled excrement in covered bucket to dispose of in the toilet or latrine; Wash and disinfect linen: washing by machine with warm water (60-90°C) and laundry detergent is recommended for cleaning and disinfection of linens. If machine washing is not possible, linen can be soaked in hot water and soap in a large drum, using a stick to stir, avoiding splashing. If hot water not available, soak linen in 0.05% chlorine for approximately 30 minutes.  Finally, rinse with clean water and let linen dry fully in the sunlight.  Additional resources for best practices for environmental cleaning can be found in the following two documents: 1) Infection prevention and control of epidemic-and pandemic prone acute respiratory infections in health care2) Best Practices for Environmental Cleaning in Healthcare Facilities in Resource-Limited Settings which was developed by CDC and ICAN in collaboration with WHO"
44,"What are the recommendation regarding disinfection of vehicles, goods and products coming from China or other COVID-19 affected countries?","To date there is no epidemiological information to suggest
that contact with goods, products or vehicles shipped from COVID-19 affected
countries have been the source of COVID-19 in humans.For these reasons, there is no disinfection recommendations
for any goods and products coming from COVID-19 affected countries given that
there is no available evidence that these products pose a risk to public
health. WHO will continue to closely monitor the evolution of
COVID-19, and will update the recommendations as needed."
45,What personal protective equipment (PPE) should be used by healthcare workers (HCW) performing nasopharyngeal (NP) or oropharyngeal (OP) swabs on patients with suspected or confirmed COVID-19?,"Health care workers collecting NP and OP swab specimens from suspected or confirmed COVID-19 patients should be well-trained on the procedure and should wear a clean, non-sterile, long-sleeve gown, a medical mask, eye protection (i.e., googles or face shield), and gloves. Procedure should be conducted in a separate/isolation room, and during NP specimen collection health care workers should request the patients to cover their mouth with a medical mask or tissue. Although collection of NP and OP swabs have the potential to induce fits of coughing from the patient undergoing the procedure, there is no currently available evidence that cough generated via NP/OP specimen collection leads to increased risk of COVID-19 transmission via aerosols."
46,Should blood centers routinely screen blood products for COVID-19 virus?,"No, although RNA fragments of SARS-CoV-2 were detected in blood of symptomatic COVID-19 patients, this does not mean that the virus is viable/infectious. In general, respiratory viruses are not known to be transmitted by blood transfusion. Blood centers should have routine blood donor screening measures in place to prevent individuals with respiratory symptoms or fever from donating blood.  As precautionary measures, blood centers might encourage self-deferral of those with travel history to an COVID-19 affected country in the previous 14 days, or of those who have been diagnosed with COVID-19 or are close contact with a confirmed COVID-19 case."
47,How much physical activity is recommended?,"WHO has detailed recommendations on the amount of physical activity people of all ages should do to benefit their health and wellbeing. (available here for children under age of 5 and here for youth, adults and olders) Here are the minimum levels we recommend:Infants under the age of 1 year need to be physically active several times a day.
    Children under 5 years of age should spend at least 180 minutes a day in physical activities, with 3-4 year-olds being moderately or vigorously active for an hour a day.
    Children and adolescents aged 5-17yearsall children and adolescents should do at least 60 minutes a day of moderate to vigorous-intensity physical activity, including activities that strengthen muscle and bone, at least 3 days per week.Adults aged over 18 years should do a total of at least 150 minutes of moderate-intensity physical activity throughout the week, or at least 75 minutes of vigorous-intensity physical activity throughout the week, including muscle-strengthening activities 2 or more days per
        week.
    older adults with poor mobility should do physical activity to enhance balance and prevent falls on 3 or more days per week.
      But any physical activity is better than none.  Start with small amounts and gradually increase duration, frequency and intensity over time. Being active during the COVID-19 pandemic is challenging for us all.  Because the opportunities to be physically active seem to be more restricted, it is even more important to plan in every day the ways to be active and to reduce the time spent
    sitting for long periods. Put simply, it is a critical time to ensure we all move more and sit less."
48,So how do I stay safe while exercising in COVID-19?,"Do not exercise if you have a fever, cough and difficulty breathing. Stay home and rest, seek medical attention and call in advance. Follow the directions of your local health authority.If you are able to go for a walk or bicycle ride always practice physical distancing and wash your hands with water and soap before you leave, when you get to where you are going, and as soon as you get home.  If water and soap are not immediately available, use alcohol-based hand rub. If you go to a park or public open space to walk, run or exercise always practice physical distancing and wash your hands with water and soap, before you leave, when you get to where you are going, and as soon as you get home.  If water and soap are not immediately available, use alcohol-based hand rub. Follow the directions of your local health authority in regards to any restrictions on the number of people with you and/or restrictions on the use of public outdoor play or exercise equipment. If you are not regularly active start slowly and with low intensity activities, like walking and low impact exercises. Start with shorter amounts, like 5-10 minutes, and gradually build up to 30 minutes or more continuously over a few weeks. It is better and safer to be active for short periods more frequently than to try and be active for long periods when you are not used to it. Choose the right activity so that you reduce the risk of injury and that you enjoy the activity. Choose the right intensity according to your health status and fitness level. You should be able to breath comfortably and hold a conversation while you do light- and moderate-intensity physical activity."
49,How do I stay active in and around the home?,"Try and reduce long periods of time spent sitting, whether for work, studying, watching TV, reading, or using social media or playing games using screens. Reduce sitting for long periods by taking short 3-5 minute breaks every 20-30 minutes.
    Simply stand up and stretch or even better, take a walk around the house, up and down the stairs, or into the garden. By just moving around and stretching you can improve your health and wellbeing. For more ideas and illustrations of healthy stretches
    see here.Set up a regular routine to be active every day, by planning a physical activity or exercise break either by yourself, by joining an online class, or by setting up a time to be active online with your friends or colleagues. Making a specific
    time to be active helps ensure you get your daily physical activity. Put the time in your diary, and it will help remind you. Stick with it, as this will help you build a regular routine, and help you adjust to new ways of working, study and family
    life under COVID-19 restrictionsBe active with your family and friends, connecting with others can help you and your family in the home and elsewhere spend time together and be active. Planning time to be active with your children with
    active games at home, walks in the parks, or cycling can be a way the whole family can relax, be together and be active and healthy whilst at home.   Set yourself and your family Be Active goals, by choosing a specific type of activity, time of day and/or number of minutes you will do every day. Get each family member to choose their own goal which sets a bit of a challenge but is
    realistic with help from family or friends and motivation. Record your progress on a weekly activity chart and, if you think it would help, reward yourself with something you value.http://www.euro.who.int/en/health-topics/health-emergencies/coronavirus-covid-19/novel-coronavirus-2019-ncov-technical-guidance/stay-physically-active-during-self-quarantine/_recache?fbclid=IwAR2RQYVYBnmpDCMjBwqmoz0hZxzmit_9yKzXu6ZhjGNywRTEzWOUQefU8V0More physical activity ideas to help you stay activeFor Infants under 1 year of ageSpend regular time doing floor-based play with your baby in a prone position (‘tummy time’) and spread this throughout the day while baby is awake.For Children under 5 years of ageActive play in and around the home – invent games which involve being active and can develop skills in throwing, catching, kicking, as well as developing posture and balance.Active play and games where children get out of breath, such as running around, skipping and jumping.For Children and adolescents aged 5-17 yearsActive games and active play with family.Join in online active games or activity classes, also look for online physical education classes as well as exercise routines suitable for adolescents.Set up playground games indoors such as Jump rope and hop-scotch – make up new games and challenges that involve being active. Learn a new skill – for example try an learn to juggle. Encourage doing some muscle strength training activities such as lifting weights or use improvised weight such as bottles full of water or sand.For Adults Climb up the stairs as much as you can, think of it as an opportunity to be active. Use household chores as a way to be more physical activity. Join in an online exercise class or make up your own routine to music you enjoy that uses the major muscle groups and raises you heart rate. Do some muscle strengthening activities such as lifting weights or improvise using full bottles of water or simply use your own body weight and do sets of press ups, sit ups and squats. Make time for fun, such as dancing to music.Where to get more help and informationFor more ideas use internet search platforms and check out social media for suggestions and access to free resources suitable for children of all ages and adults of all fitness and abilities."
50,How do I stay active in and around the home?,"Try and reduce long periods of time spent sitting, whether for work, studying, watching TV, reading, or using social media or playing games using screens. Reduce sitting for long periods by taking short 3-5 minute breaks every 20-30 minutes.
    Simply stand up and stretch or even better, take a walk around the house, up and down the stairs, or into the garden. By just moving around and stretching you can improve your health and wellbeing. For more ideas and illustrations of healthy stretches
    see here.Set up a regular routine to be active every day, by planning a physical activity or exercise break either by yourself, by joining an online class, or by setting up a time to be active online with your friends or colleagues. Making a specific
    time to be active helps ensure you get your daily physical activity. Put the time in your diary, and it will help remind you. Stick with it, as this will help you build a regular routine, and help you adjust to new ways of working, study and family
    life under COVID-19 restrictionsBe active with your family and friends, connecting with others can help you and your family in the home and elsewhere spend time together and be active. Planning time to be active with your children with
    active games at home, walks in the parks, or cycling can be a way the whole family can relax, be together and be active and healthy whilst at home.   Set yourself and your family Be Active goals, by choosing a specific type of activity, time of day and/or number of minutes you will do every day. Get each family member to choose their own goal which sets a bit of a challenge but is
    realistic with help from family or friends and motivation. Record your progress on a weekly activity chart and, if you think it would help, reward yourself with something you value.http://www.euro.who.int/en/health-topics/health-emergencies/coronavirus-covid-19/novel-coronavirus-2019-ncov-technical-guidance/stay-physically-active-during-self-quarantine/_recache?fbclid=IwAR2RQYVYBnmpDCMjBwqmoz0hZxzmit_9yKzXu6ZhjGNywRTEzWOUQefU8V0More physical activity ideas to help you stay activeFor Infants under 1 year of ageSpend regular time doing floor-based play with your baby in a prone position (‘tummy time’) and spread this throughout the day while baby is awake.For Children under 5 years of ageActive play in and around the home – invent games which involve being active and can develop skills in throwing, catching, kicking, as well as developing posture and balance.Active play and games where children get out of breath, such as running around, skipping and jumping.For Children and adolescents aged 5-17 yearsActive games and active play with family.Join in online active games or activity classes, also look for online physical education classes as well as exercise routines suitable for adolescents.Set up playground games indoors such as Jump rope and hop-scotch – make up new games and challenges that involve being active. Learn a new skill – for example try an learn to juggle. Encourage doing some muscle strength training activities such as lifting weights or use improvised weight such as bottles full of water or sand.For Adults Climb up the stairs as much as you can, think of it as an opportunity to be active. Use household chores as a way to be more physical activity. Join in an online exercise class or make up your own routine to music you enjoy that uses the major muscle groups and raises you heart rate. Do some muscle strengthening activities such as lifting weights or improvise using full bottles of water or simply use your own body weight and do sets of press ups, sit ups and squats. Make time for fun, such as dancing to music.Where to get more help and informationFor more ideas use internet search platforms and check out social media for suggestions and access to free resources suitable for children of all ages and adults of all fitness and abilities."
51,What are the disinfectants recommended for environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection?,"Environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection should use disinfectants that are active against enveloped viruses, such as 2019-nCoV and other coronaviruses. There are many disinfectants, including commonly used hospital disinfectants, that are active against enveloped viruses. Currently WHO recommendations include the use of:

70% Ethyl alcohol to disinfect reusable dedicated equipment (e.g., thermometers) between uses
Sodium hypochlorite at 0.5% (equivalent 5000ppm) for disinfection of frequently touched surfaces in homes or healthcare facilities

Click here for the guidance on clinical management of severe acute respiratory infection when novel coronavirus (nCoV) infection is suspected.
Click here for the guidance on infection prevention and control during health care when novel coronavirus (nCoV) infection is suspected.
More information about environmental cleaning can be found here."
52,Is there a model for setting up an isolation ward and types and products and health requirements?,A model for setting up an isolation ward is currently under development. PPE specifications for healthcare workers caring for nCoV patients can be found  in the disease commodity package at: https://www.who.int/publications-detail/disease-commodity-package---novel-coronavirus-(ncov)
53,Can chlorine solutions also be used?,"Chlorine solutions are strongly discouraged as they carry a higher risk of hand irritation and ill health effects from making and diluting chlorine solutions, including eye irritation and respiratory problems. In addition, there is a risk of loss of antimicrobial effect if exposed to sunlight or heat.  Preparing chlorine solutions requires training to reach the correct dose of 0.05% with varying strengths of bleach available in the private sector.  Even if stored at a cool dry place with a lid away from sunlight, they have to be renewed daily.  In comparison simple soapy water solution do not have any of the above-mentioned health risks and complications including loss of antiviral effect due to heat or sunlight.  The antiviral effect of soapy water is due to the oily surface membrane of the COVID-virus that is dissolved by soap, killing the virus."
54,Are smokers and tobacco users at higher risk of COVID-19 infection?,"Smokers are likely to be more vulnerable to COVID-19 as the act of smoking means that fingers (and possibly contaminated cigarettes) are in contact with lips which increases the possibility of transmission of virus from hand to mouth. Smokers may also already have lung disease or reduced lung capacity which would greatly increase risk of serious illness.Smoking products such as water pipes often involve the sharing of mouth pieces and hoses, which could facilitate the transmission of COVID-19 in communal and social settings.Conditions that increase oxygen needs or reduce the ability of the body to use it properly will put patients at higher risk of serious lung conditions such as pneumonia."
55,What is a coronavirus?,"Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19."
56,What is a coronavirus?,"Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19."
57,What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019."
58,What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019."
59,What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
60,How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick. WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share updated findings.    Can the virus that causes COVID-19 be transmitted through the air?Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.  See previous answer on “How does COVID-19 spread?”Can CoVID-19 be caught from a person who has no symptoms?The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.  WHO is assessing ongoing research on the period of transmission of COVID-19 and will continue to share updated findings.    Can I catch COVID-19 from the feces of someone with the disease?The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating."
61,What can I do to protect myself and prevent the spread of disease?,"Protection measures for everyoneStay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.Avoid touching eyes, nose and mouth.Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority.Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.Keep up to date on the      latest COVID-19 hotspots (cities or local areas where COVID-19 is      spreading widely). If possible, avoid traveling to places  – especially if you are an older person      or have diabetes, heart or lung disease.Why? You have a higher chance of catching COVID-19 in one of these areas. Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreadingFollow the guidance      outlined above (Protection      measures for everyone) Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people.Why? Avoiding contact       with others and visits to medical facilities will allow these facilities       to operate more effectively and help protect you and others from possible       COVID-19 and other viruses.If you develop fever, cough      and difficulty breathing, seek medical advice promptly as this may be due      to a respiratory infection or other serious condition. Call in advance and      tell your provider of any recent      travel or contact with travelers.Why? Calling in advance will allow your       health care provider to quickly direct you to the right health facility.       This will also help to prevent possible spread of COVID-19 and other viruses."
62,Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. Any decision to change a planned international gathering should be based on a careful assessment of the risks and how they can be managed, and the level of event planning. The assessment should involve all stakeholders in the event, and in particular the health authorities in the country or community where the event is due to take place. These authorities and stakeholders are in the best position to assess the level of stress the event might place on the local health system and emergency services – and whether this level of stress is acceptable in the current situation. It is WHO’s view that all countries with community transmission should seriously consider postponing or reducing mass gatherings that bring people together and have the potential to amplify disease and support the recommended best practice of physical distancing. Any decision will be supported through the use of WHO tools, in particular the Risk Assessment for Mass Gatherings during COVID-19. If movement restrictions and further national measures have been established in the country, the WHO RA does not apply. However, when the process of re-opening/conducting mass gatherings is being considered post movement restrictions, it will be key to ensure any decisions are based on a risk assessment, such as the WHO Mass gatherings COVID-19 risk assessment."
63,What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread. In making this assessment, the organizers and their national or local health authorities should recognize that the risk of imported cases of COVID-19 is naturally linked to international travel. They should also recognize that it is neither realistic or desirable to aim for zero risk. When organizers and health authorities are determining whether to hold a mass gathering, they should determine what is an acceptable risk and what additional measures should be implemented to mitigate the risks.For countries where COVID-19 has already started to spread in the community, key consideration will be: aiming at containing or at least slowing down the spread of the virus in the local community/country.preventing participants from other countries being infected with COVID-19  In each case the risk should be considered in the context of the known features of COVID-19, its severity, its transmissibility and the effectiveness of measures to prevent or reduce transmission. The strain already placed on the local health system in responding to COVID-19 outbreak(s), and the additional strain the mass gathering might place on the system also need to be taken into account.You can find more advice on what to look at in the WHO document Key planning recommendations for Mass Gatherings in the context of the current COVID-19 outbreak of 14 February 2020. See: https://www.who.int/publications-detail/key-planning-recommendations-for-mass-gatherings-in-the-context-of-the-current-covid-19-outbreak"
64,What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?,The national and local public health authorities in the country where you plan to hold the mass gathering will most likely know how to conduct a health risk assessment. If there is a WHO Country Office there they may also be able to provide some expert support. So too might the WHO Regional Office in your part of the world. You can find the names and contact details of the WHO Regional Offices at https://www.who.int/about/who-we-are/regional-offices
65,"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
66,"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
67,Where can I find more advice on assessing and managing health risks around international mass gatherings?,"WHO has produced guidance and also a training course on how to plan for a mass gathering. The guidance and the course both look at how to conduct a risk assessment, plan for and manage health risks in partnership with the local authorities: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance/points-of-entry-and-mass-gatherings  You can find advice to give individual participants on how to protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
68,Where can I find more advice on assessing and managing health risks around international mass gatherings?,"WHO has produced guidance and also a training course on how to plan for a mass gathering. The guidance and the course both look at how to conduct a risk assessment, plan for and manage health risks in partnership with the local authorities: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance/points-of-entry-and-mass-gatherings  You can find advice to give individual participants on how to protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
69,How likely am I to catch COVID-19?,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide. You can see these at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/"
70,How likely am I to catch COVID-19?,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide. You can see these at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/"
71,Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings. Learn more about how to protect yourself at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
72,Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings. Learn more about how to protect yourself at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
73,Who is at risk of developing severe illness?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes)  appear to develop serious illness more often than others."
74,Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection."
75,Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. WHO will continue to provide updated information as soon as clinical findings are available."
76,"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus)."
77,"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus)."
78,Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different. SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003."
79,Should I wear a mask to protect myself?,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely.WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks  (see Advice on the use of masks). The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See  basic protective measures against the new coronavirus for more information."
80,Should I wear a mask to protect myself?,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely.WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks  (see Advice on the use of masks). The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See  basic protective measures against the new coronavirus for more information."
81,How long is the incubation period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available."
